book,book_full,category,chapter,clause_idx,sent_id,strategy,orig_pj,orig_std,stripped_pj,stripped_std,delta_pj,flipped,fully_editorial,n_orig,n_stripped,n_remaining,strip_ratio,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
John,John,Gospel,4,181,John.4.4,patriarchal,0.5921,0.0836,,,,False,True,6,2,4,0.3333,patriarchal,ἦν δὲ ἐκεῖ πηγὴ τοῦ Ἰακώβ.,ἦν δὲ ἐκεῖ πηγὴ,τοῦ|Ἰακώβ.,,,
John,John,Gospel,4,182,John.4.4,all,0.5049,0.0908,0.5596,0.1153,-0.0548,False,False,12,2,10,0.1667,christological,ὁ οὖν Ἰησοῦς κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ·,οὖν κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ·,ὁ|Ἰησοῦς,,,
John,John,Gospel,4,182,John.4.4,christological,0.5049,0.0908,0.5596,0.1153,-0.0548,False,False,12,2,10,0.1667,christological,ὁ οὖν Ἰησοῦς κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ·,οὖν κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ·,ὁ|Ἰησοῦς,,,
John,John,Gospel,4,185,John.4.4,all,0.5980,0.1299,,,,False,True,4,1,3,0.2500,christological,λέγει αὐτῇ ὁ Ἰησοῦς·,λέγει αὐτῇ ὁ,Ἰησοῦς·,,,
John,John,Gospel,4,185,John.4.4,christological,0.5980,0.1299,,,,False,True,4,1,3,0.2500,christological,λέγει αὐτῇ ὁ Ἰησοῦς·,λέγει αὐτῇ ὁ,Ἰησοῦς·,,,
John,John,Gospel,4,190,John.4.5,all,0.5515,0.0846,0.4875,0.0897,0.0640,True,False,11,1,10,0.0909,christological,"Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη Ἰησοῦς εἰς Ἱεροσόλυμα.","Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη εἰς Ἱεροσόλυμα.",Ἰησοῦς,ROBUST,0,0.009900990099009901
John,John,Gospel,4,190,John.4.5,christological,0.5515,0.0846,0.4875,0.0897,0.0640,True,False,11,1,10,0.0909,christological,"Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη Ἰησοῦς εἰς Ἱεροσόλυμα.","Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη εἰς Ἱεροσόλυμα.",Ἰησοῦς,,,
John,John,Gospel,4,194,John.4.5,all,0.5795,0.1181,0.6100,0.1014,-0.0305,False,False,14,2,12,0.1429,christological,"τοῦτον ἰδὼν ὁ Ἰησοῦς κατακείμενον, καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ·","τοῦτον ἰδὼν κατακείμενον, καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ·",ὁ|Ἰησοῦς,,,
John,John,Gospel,4,194,John.4.5,christological,0.5795,0.1181,0.6100,0.1014,-0.0305,False,False,14,2,12,0.1429,christological,"τοῦτον ἰδὼν ὁ Ἰησοῦς κατακείμενον, καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ·","τοῦτον ἰδὼν κατακείμενον, καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ·",ὁ|Ἰησοῦς,,,
John,John,Gospel,4,204,John.4.6,all,0.5870,0.1815,,,,False,True,12,2,10,0.1667,christological,Μετὰ ταῦτα ἀπῆλθεν ὁ Ἰησοῦς πέραν τῆς θαλάσσης τῆς Γαλιλαίας τῆς Τιβεριάδος.,Μετὰ ταῦτα ἀπῆλθεν πέραν τῆς θαλάσσης τῆς Γαλιλαίας τῆς Τιβεριάδος.,ὁ|Ἰησοῦς,,,
