CHAPTER-LEVEL HEATMAP (Mean P(Jewish) | Uncertainty)
    Ch  5 [██████████████████████░░░░░░░░] 0.765 +/-0.116 JEWISH
    Ch  6 [█████████████████████░░░░░░░░░] 0.723 +/-0.126 JEWISH
    Ch  7 [██████████████████████░░░░░░░░] 0.749 +/-0.131 JEWISH
    Ch  8 [█████████████████████░░░░░░░░░] 0.706 +/-0.122 JEWISH
    Ch  9 [████████████████████████░░░░░░] 0.801 +/-0.101 JEWISH
    Ch 10 [████████████████░░░░░░░░░░░░░░] 0.550 +/-0.120 MIXED
    Ch 11 [█████████████████████░░░░░░░░░] 0.713 +/-0.119 JEWISH
    Ch 12 [█████████████████████░░░░░░░░░] 0.714 +/-0.124 JEWISH
    Ch 13 [█████████████████████░░░░░░░░░] 0.732 +/-0.109 JEWISH

  Galatians
    Ch  1 [█████████████████████░░░░░░░░░] 0.708 +/-0.125 JEWISH
    Ch  2 [██████████████████████░░░░░░░░] 0.746 +/-0.122 JEWISH
    Ch  3 [██████████████████████░░░░░░░░] 0.754 +/-0.105 JEWISH
    Ch  4 [████████████████████░░░░░░░░░░] 0.688 +/-0.145 JEWISH
    Ch  5 [███████████████████░░░░░░░░░░░] 0.660 +/-0.129 JEWISH
    Ch  6 [███████████████████████░░░░░░░] 0.796 +/-0.129 JEWISH

  Ephesians
    Ch  1 [███████████████████████████░░░] 0.932 +/-0.041 JEWISH
    Ch  2 [█████████████████████████░░░░░] 0.844 +/-0.081 JEWISH
    Ch  3 [█████████████████████████████░] 0.970 +/-0.026 JEWISH
    Ch  4 [█████████████████████████░░░░░] 0.836 +/-0.072 JEWISH
    Ch  5 [███████████████████░░░░░░░░░░░] 0.647 +/-0.147 JEWISH
    Ch  6 [██████████████████████████░░░░] 0.893 +/-0.076 JEWISH

  Philippians
    Ch  1 [█████████████████████░░░░░░░░░] 0.722 +/-0.099 JEWISH
    Ch  2 [██████████████████████░░░░░░░░] 0.740 +/-0.120 JEWISH
    Ch  3 [██████████████████████░░░░░░░░] 0.739 +/-0.119 JEWISH
    Ch  4 [████████████████████░░░░░░░░░░] 0.675 +/-0.108 JEWISH

  Colossians
    Ch  1 [██████████████████████████░░░░] 0.893 +/-0.084 JEWISH
    Ch  2 [█████████████████████████░░░░░] 0.863 +/-0.070 JEWISH
    Ch  3 [█████████████████████░░░░░░░░░] 0.707 +/-0.128 JEWISH
    Ch  4 [███████████████████████░░░░░░░] 0.792 +/-0.114 JEWISH

  1 Thessalonians
    Ch  1 [███████████████████████████░░░] 0.929 +/-0.057 JEWISH
    Ch  2 [████████████████████░░░░░░░░░░] 0.685 +/-0.166 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.817 +/-0.086 JEWISH
    Ch  4 [█████████████████████░░░░░░░░░] 0.717 +/-0.148 JEWISH
    Ch  5 [███████████████████░░░░░░░░░░░] 0.637 +/-0.137 JEWISH

  2 Thessalonians
    Ch  1 [████████████████████████████░░] 0.965 +/-0.038 JEWISH
    Ch  2 [██████████████████████████░░░░] 0.876 +/-0.053 JEWISH
    Ch  3 [███████████████████████░░░░░░░] 0.784 +/-0.109 JEWISH

  1 Timothy
    Ch  1 [██████████████████████████░░░░] 0.899 +/-0.069 JEWISH
    Ch  2 [████████████████████░░░░░░░░░░] 0.673 +/-0.110 JEWISH
    Ch  3 [█████████████████████░░░░░░░░░] 0.719 +/-0.110 JEWISH
    Ch  4 [███████████████████████░░░░░░░] 0.796 +/-0.100 JEWISH
    Ch  5 [████████████████████░░░░░░░░░░] 0.692 +/-0.122 JEWISH
    Ch  6 [██████████████████████░░░░░░░░] 0.762 +/-0.121 JEWISH

  2 Timothy
    Ch  1 [█████████████████████████░░░░░] 0.836 +/-0.107 JEWISH
    Ch  2 [██████████████████████░░░░░░░░] 0.737 +/-0.114 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.803 +/-0.130 JEWISH
    Ch  4 [█████████████████████████░░░░░] 0.857 +/-0.097 JEWISH

  Titus
    Ch  1 [██████████████████████░░░░░░░░] 0.738 +/-0.118 JEWISH
    Ch  2 [██████████████████████░░░░░░░░] 0.750 +/-0.116 JEWISH
    Ch  3 [███████████████████████░░░░░░░] 0.773 +/-0.103 JEWISH

  Philemon
    Ch  1 [█████████████████████████░░░░░] 0.859 +/-0.098 JEWISH

  Hebrews
    Ch  1 [████████████████████████░░░░░░] 0.827 +/-0.108 JEWISH
    Ch  2 [███████████████████████░░░░░░░] 0.794 +/-0.093 JEWISH
